Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas du jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
22/01/2024,ATTIJARIWAFA BANK,ATW,"486,15","485,05","486,95","484,55",13 230,"6 425 841,35",75,"104 354 063 956,95"
19/01/2024,ATTIJARIWAFA BANK,ATW,"485,00","486,55","489,00","484,00",39 050,"18 986 976,70",120,"104 676 775 215,45"
18/01/2024,ATTIJARIWAFA BANK,ATW,"481,05","486,00","487,00","480,00",114 452,"55 563 576,40",217,"104 558 447 754,00"
17/01/2024,ATTIJARIWAFA BANK,ATW,"478,00","481,20","484,75","476,65",87 793,"42 169 855,00",251,"103 525 771 726,80"
16/01/2024,ATTIJARIWAFA BANK,ATW,"476,55","478,00","478,00","476,05",40 215,"19 186 141,90",152,"102 837 321 042,00"
15/01/2024,ATTIJARIWAFA BANK,ATW,"476,05","476,25","479,50","476,05",9 222,"4 393 771,35",68,"102 460 824 573,75"
12/01/2024,ATTIJARIWAFA BANK,ATW,"477,00","480,00","480,00","477,00",65 235,"31 252 647,65",280,"103 267 602 720,00"
10/01/2024,ATTIJARIWAFA BANK,ATW,"473,35","476,00","476,00","473,35",74 011,"35 190 443,60",167,"102 407 039 364,00"
09/01/2024,ATTIJARIWAFA BANK,ATW,"469,75","475,10","475,10","468,70",150 673,"71 385 015,80",287,"102 213 412 608,90"
08/01/2024,ATTIJARIWAFA BANK,ATW,"466,60","470,00","471,00","466,60",21 752,"10 203 296,95",160,"101 116 194 330,00"
05/01/2024,ATTIJARIWAFA BANK,ATW,"465,60","470,00","471,00","465,60",41 737,"19 571 190,50",243,"101 116 194 330,00"
04/01/2024,ATTIJARIWAFA BANK,ATW,"464,00","467,60","467,60","463,70",14 385,"6 701 485,85",113,"100 599 856 316,40"
03/01/2024,ATTIJARIWAFA BANK,ATW,"461,45","465,20","465,20","460,15",24 371,"11 294 790,60",136,"100 083 518 302,80"
02/01/2024,ATTIJARIWAFA BANK,ATW,"460,20","462,50","462,50","460,00",23 190,"10 678 888,20",83,"99 502 638 037,50"
29/12/2023,ATTIJARIWAFA BANK,ATW,"464,15","460,00","466,00","460,00",125 885,"57 994 850,15",189,"98 964 785 940,00"
